word 1	word 2	score
alt	neu	0.076923077
klug	intelligent	9.692307692
schwer	schwierig	9.230769231
glücklich	fröhlich	9.461538462
schwer	leicht	0.153846154
schnell	rasant	9.230769231
glücklich	freudig	9.153846154
kurz	lang	0.230769231
dumm	blöd	9.461538462
sonderbar	eigentümlich	8.307692308
weit	eng	0.307692308
schlecht	schrecklich	6.769230769
leicht	schwierig	0.153846154
schlecht	furchtbar	0
schwer	einfach	0.153846154
klug	blöd	0.153846154
wahnsinnig	verrückt	9.538461538
glücklich	irre	1.076923077
groß	riesig	9.230769231
hart	zäh	6.923076923
neu	frisch	8.307692308
scharf	stumpf	0.153846154
rasch	rasant	9.307692308
blöd	töricht	7.076923077
wunderbar	fantastisch	9.307692308
eigentümlich	seltsam	7.076923077
glücklich	ärgerlich	0.230769231
eng	breit	0.230769231
einfach	leicht	9.538461538
alt	frisch	0.153846154
offentkundig	offensichtlich	6.692307692
preiswert	billig	8.692307692
nett	großmütig	4.846153846
sonderbar	normal	0.230769231
sonderbar	seltsam	8.846153846
schlecht	unmoralisch	4.846153846
traurig	lustig	0.153846154
wunderbar	großartig	9.307692308
schuldig	beschämt	4.692307692
schön	wunderbar	8.461538462
zuversichtlich	sicher	8.384615385
blöd	unterbelichtet	7.461538462
umfangreich	groß	7.692307692
nett	grausam	0.076923077
ungeduldig	nervös	6.692307692
groß	breit	6.153846154
stark	stolz	3.769230769
unnötig	notwendig	0.846153846
rastlos	jung	1.769230769
blöd	intelligent	0.076923077
schlecht	großartig	0.846153846
schwierig	einfach	1.153846154
notwendig	wichtig	8.461538462
schlecht	schrecklich	5.461538462
irre	froh	2
ehrlich	schuldig	1.230769231
leicht	hart	1.384615385
leicht	flexibel	3.384615385
gewiss	sicher	8.384615385
wesentlich	notwendig	8
anders	normal	0.846153846
gerissen	schlau	6.692307692
entscheidend	wichtig	7.615384615
harsch	grausam	4.692307692
kindisch	töricht	5.153846154
selten	rar	9.538461538
freundlich	großmütig	4.923076923
zerbrechlich	eisig	1.846153846
lang	schmal	3.230769231
dick	schwer	4.846153846
grob	kühl	2.307692308
absonderlich	fremdartig	6.692307692
illegal	unmoralisch	4.846153846
schlecht	schuldig	3.153846154
modern	antik	1.307692308
neu	antik	0.615384615
fade	lustig	0.846153846
glücklich	jung	2.923076923
leicht	dick	0.615384615
großartig	schrecklich	0.692307692
winzig	riesig	1.384615385
höflich	schicklich	4.923076923
bescheiden	beschämt	2.384615385
exotisch	rar	7.153846154
blöd	schlau	1.076923077
entzückend	wunderbar	7.615384615
auffallend	offensichtlich	6.384615385
besorgt	ängstlich	6.615384615
förmlich	schicklich	4
trostlos	fade	6.692307692
entzückend	fröhlich	4.846153846
unglücklich	irre	2
traurig	furchtbar	4
krank	verrückt	3.692307692
gewalttätig	wütend	5.461538462
belanden	schwer	3.692307692
dreckig	billig	2.846153846
elastisch	flexibel	8.153846154
hart	dicht	1.846153846
neulich	neu	2.153846154
kühn	stolz	6.230769231
verschlagen	seltsam	4.615384615
seltsam	verschlagen	5.076923077
sprachlos	rar	2.307692308
gerissen	hartnäckig	3.923076923
fantastisch	irre	4.384615385
beschweiden	anpassungsfähig	3.692307692
frisch	weit	1.538461538
riesig	sprachlos	1.307692308
umfangreich	nachgiebig	3.076923077
schmutzig	schmal	1.153846154
ehefrau	ehemann	6.615384615
buch	text	6.230769231
bräutigam	braut	6.384615385
nacht	tag	4.769230769
süden	norden	3.923076923
flugzeug	flughafen	5.846153846
onkel	tante	5.384615385
pferd	stute	6.615384615
unterseite	oberseite	5.076923077
freund	kumpel	8.076923077
student	schüler	8.615384615
welt	globus	7.307692308
bein	arm	4.538461538
flugzeug	düsenflugzeug	8.230769231
frau	mann	4.923076923
pferd	fohlen	7.384615385
schauspielerin	schauspieler	7.923076923
lehrer	ausbilder	8.076923077
film	streifen	6.230769231
vogel	habicht	6.076923077
wort	wörterbuch	6.538461538
geld	gehalt	8
hund	katze	3.923076923
gegend	region	8.230769231
marine	armee	7.538461538
buch	literatur	7.307692308
kleider	schrank	3.615384615
sonnenuntergang	sonnenaufgang	5.846153846
kind	erwachsener	4.692307692
kuh	herde	5.384615385
buch	geschichte	5.384615385
winter	sommer	5.307692308
taxi	taxe	6.769230769
baum	ahorn	7.076923077
bett	schlafzimmer	6
dach	decke	5.153846154
krankheit	infektion	7.076923077
arm	schulter	5.923076923
schaf	lamm	7.461538462
dame	herr	2.615384615
boot	anker	5.153846154
priester	mönch	7.461538462
zeh	finger	3.307692308
fluss	strom	7.076923077
zorn	wut	9.153846154
datum	kalender	5.615384615
meer	ozean	8.538461538
sekunde	minute	3.461538462
hand	daumen	5.076923077
holz	scheit	7.384615385
schlamm	schmutz	6.769230769
flur	gang	8.692307692
weise	art	5.923076923
maus	katze	2.461538462
polizist	sheriff	8.307692308
tod	beerdigung	6.153846154
musik	melodie	7.538461538
bier	alkohol	6
mund	lippe	7
sturm	orkan	8.846153846
steuer	einkommen	4.538461538
blume	veilchen	6.307692308
papier	pappe	6.923076923
boden	decke	2.615384615
strand	küste	6.538461538
stange	vorhang	2.769230769
jagdhund	fuchs	3.307692308
straße	gasse	7.076923077
boot	deck	5
auto	hupe	3.461538462
freund	gast	5.307692308
arbeitgeber	arbeitnehmer	2.846153846
hand	handgelenk	5.692307692
kugel	kanone	4.230769231
alkohol	branntwein	7.538461538
sieg	triumph	8.461538462
telefon	zelle	3.153846154
tür	eingang	6.846153846
motel	herberge	6.923076923
kleidung	stoff	6.076923077
steak	fleisch	6.846153846
nagel	daumen	5.307692308
kapelle	orchester	7.076923077
buch	bibel	6.153846154
unternehmen	industrie	6.692307692
winter	jahreszeit	7.153846154
jahrzehnt	jahrhundert	5.307692308
alkohol	gin	7.076923077
hut	mantel	3
fenster	tür	4.076923077
arm	gelenk	4.615384615
haus	wohnung	6.615384615
glass	kristall	6.230769231
wein	branntwein	6.384615385
schöpfer	hersteller	8.692307692
abendessen	frühstück	3.230769231
arm	muskel	5.615384615
blase	schaum	3.384615385
brot	mehl	6.461538462
tod	tragödie	7.384615385
abwesenheit	anwesenheit	4.923076923
pistole	kanone	6
gras	halm	6.153846154
ball	korb	3.384615385
schlauch	garten	4.076923077
junge	kind	7
kirche	chor	4.615384615
kleidung	schublade	3.692307692
turm	glocke	4.461538462
vater	elternteil	7
schule	note	5.230769231
elternteil	erwachsener	5.846153846
stab	gefängnis	2.615384615
auto	autobahn	6
wörterbuch	definition	6.230769231
tür	keller	4.153846154
armee	legion	7.307692308
metall	aluminium	6.076923077
stuhl	bank	5.384615385
wolke	nebel	5.615384615
junge	sohn	7.384615385
wasser	eisig	3.923076923
bett	decke	5.538461538
staatsanwalt	rechtsanwalt	7.384615385
gebiet	zone	7.153846154
unternehmen	betrieb	8.692307692
kleidung	gewebe	5.230769231
pullover	jacke	4.769230769
geld	vermögen	7.615384615
hand	fuß	3.923076923
alkohol	cocktail	6.384615385
meter	zentimeter	6.615384615
molekül	atom	7.230769231
linse	kamera	5.692307692
mahlzeit	abendessen	6.461538462
auge	träne	5.538461538
gott	teufel	3.461538462
schlaufe	gürtel	4.692307692
ratte	maus	6.230769231
motor	antrieb	7
auto	taxi	4.923076923
katze	löwe	4.923076923
größe	ausmaß	6.384615385
wirklichkeit	fantasie	0.692307692
türe	tor	6.384615385
katze	haustier	5.076923077
blech	aluminium	4
knochen	kiefer	4.615384615
getreide	weizen	6.384615385
haus	schlüssel	2.538461538
blut	fleisch	1.846153846
tür	flur	2.153846154
gott	geist	3.692307692
fähigkeit	kompetenz	7.076923077
überschwang	überfluss	5.846153846
sofa	stuhl	2.692307692
mauer	ziegel	4.769230769
horn	trommel	1.923076923
organ	leber	5.769230769
kraft	macht	4.615384615
begriff	wort	5.538461538
kapelle	parade	1.923076923
bauch	taille	4.230769231
wolke	sturm	2.384615385
freude	stolz	3.769230769
lärm	gerassel	4.923076923
regen	dunst	3.230769231
bier	getränk	6.076923077
mann	onkel	4
apfel	saft	2.461538462
intelligenz	logik	5.461538462
verständigung	sprache	5.769230769
nerz	pelz	5.615384615
menschenmenge	gedränge	4.846153846
ufer	küste	6.769230769
leitung	kabel	6.769230769
vogel	truthahn	5.153846154
bett	krippe	4.307692308
befähigung	können	6.230769231
wolke	dunstschleier	4.461538462
abendmahl	mahlzeit	5.307692308
stab	käfig	1.923076923
wasser	salz	1.153846154
sinn	intuition	3.769230769
lage	umstand	4.769230769
verbrechen	diebstahl	5.923076923
stil	mode	6.461538462
rand	grenze	7.692307692
arm	körper	3.307692308
boot	auto	5.692307692
sandwich	mittagessen	1.923076923
braut	prinzessin	7.384615385
heldin	held	1.769230769
auto	spurweite	7.076923077
insekt	biene	5.076923077
krippe	wiege	2.076923077
tier	person	5.307692308
marijuana	kraut	2.384615385
bett	krankenhaus	3.230769231
wange	zunge	3.538461538
cd	computer	5.153846154
kurve	winkel	6.307692308
gras	moos	5.153846154
schule	jura	3.846153846
fuß	kopf	2.692307692
mutter	beschützerin	5.461538462
kieferorthopäde	zahnarzt	6.461538462
alkohol	whiskey	7.769230769
mund	zahn	5.230769231
frühstück	speck	8.307692308
bad	schlafzimmer	5.615384615
teller	schale	3.307692308
fleisch	speck	4.230769231
luft	helium	3.692307692
arbeiter	arbeitgeber	3
körper	brust	5.615384615
sohn	vater	4.923076923
herz	operation	6.153846154
frau	sekretärin	2.538461538
mann	vater	3.923076923
strand	insel	4.923076923
geschichte	thema	5.307692308
spiel	spaß	3.846153846
wochenende	woche	4.230769231
pärchen	paar	7.846153846
frau	ehefrau	3.846153846
schaf	vieh	4.615384615
geldbeutel	tasche	6.384615385
decke	kathedrale	2.692307692
bohne	kaffee	5.230769231
holz	papier	7
oberseite	seite	2.692307692
vergehen	betrug	3.076923077
schmerz	schaden	3.461538462
liebhaber	gefährte	4.076923077
abend	abenddämmerung	5.692307692
vater	tochter	5.153846154
wein	likör	6.615384615
kuh	ziege	5
glaube	meinung	5.076923077
wirklichkeit	illusion	0.923076923
vertrag	vereinbarung	7.461538462
reichtum	armut	0.538461538
unfall	notfall	6.923076923
schlacht	eroberung	4.615384615
freund	lehrer	1.615384615
erkrankung	ansteckung	5.692307692
spiel	finte	1.692307692
bruder	sohn	2.307692308
tante	neffe	2.461538462
arbeiter	mechaniker	4.846153846
arzt	kieferorthopäde	5.923076923
eiche	ahorn	4.230769231
biene	königin	3.846153846
auto	fahrrad	1.846153846
ziel	streben	5.846153846
august	monat	6.230769231
armee	truppe	6.846153846
wolke	wetter	4.307692308
mediziner	arzt	8.461538462
schlucht	tal	6.307692308
fluss	tal	2.384615385
sonne	himmel	3.461538462
zielscheibe	pfeil	2.923076923
schokolade	torte	2.384615385
umstand	lage	5.846153846
meinung	wahl	4.692307692
rhythmus	melodie	5.230769231
darm	nerv	1.538461538
tag	morgendämmerung	3.307692308
vieh	rindfleisch	4.769230769
arzt	professor	4.923076923
arm	vene	2.923076923
zimmer	bad	4.076923077
unternehmen	geschäft	7.538461538
spaß	fußball	3.384615385
hügel	klippe	3.615384615
knochen	knöchel	6.230769231
apfel	süßigkeit	2.615384615
helfer	haushelferin	4.692307692
leiter	manager	7.230769231
zitrone	tee	1.538461538
biene	ameise	2
basketball	baseball	2.615384615
reis	bohne	2.923076923
bett	möbel	5.230769231
gefühlsregung	leidenschaft	5.384615385
anarchie	chaos	6.230769231
verbrechen	übertretung	4.230769231
machine	antrieb	4.923076923
strand	meer	5.153846154
gasse	schüssel	0.538461538
krug	flasche	4
kraft	fähigkeit	3.230769231
samen	senf	2.692307692
gitarre	trommel	4
meinung	idee	4.538461538
norden	westen	3.769230769
diät	salat	3.307692308
mutter	ehefrau	4.461538462
papa	mutter	3.307692308
kapitän	seemann	6.692307692
meter	yard	6.076923077
bier	champagner	3.846153846
motor	boot	3.230769231
karte	bridge	2.769230769
wissenschaft	psychologie	4.769230769
sünder	heiliger	2.692307692
abbau	aufbau	3.153846154
menge	haufen	5.923076923
strand	riff	4
mann	kind	2.230769231
brot	käse	2.230769231
meister	gewinner	6.615384615
feier	zeremonie	6.230769231
speisekarte	bestellung	3.307692308
könig	prinzessin	4.461538462
reichtum	ansehen	4.384615385
ausdauer	kraft	4.769230769
gefahr	bedrohung	8.923076923
gott	priester	3.769230769
männer	brüderlichkeit	2
kumpel	gefährte	7.230769231
lehrer	helfer	3.461538462
körper	bauch	3.692307692
zunge	kehle	3.384615385
haus	teppich	1
intelligenz	geschick	4.307692308
reise	eroberung	1.846153846
gott	beute	0.692307692
bruder	seele	1.076923077
widersacher	gegener	8.153846154
tod	katastrophe	4.307692308
moster	dämon	7
tag	morgen	3.615384615
mann	sieger	1.461538462
freund	kumpan	7.923076923
lied	geschichte	2.769230769
strahl	sonnenschein	5.153846154
kerl	hengst	3.538461538
hühnchen	reis	1.307692308
kasten	aufzug	0.923076923
butter	kartoffel	1.538461538
wohnung	möbel	3.846153846
see	moor	2.923076923
salat	essig	3.538461538
blume	knolle	3.846153846
wolke	dunst	5.461538462
fahrer	pilot	5.461538462
zucker	honig	3.923076923
körper	schulter	3.769230769
idee	abbild	1.846153846
vater	bruder	4.230769231
mond	planet	6.153846154
ball	kostüm	4.461538462
gleis	zaun	1
zimmer	bett	2.538461538
blume	busch	3.230769231
knochen	knie	4.692307692
arm	knie	4.307692308
unterseite	seite	5.153846154
gefäß	vene	5.076923077
katze	hase	3.230769231
fleisch	sandwich	2.615384615
glaube	konzept	2.769230769
intelligenz	einsicht	3.769230769
aufmerksamkeit	interesse	7.692307692
haltung	selbstsicherheit	5.076923077
recht	gerechtigkeit	7.615384615
streit	vereinbarung	0.538461538
tiefe	ausmaß	4.230769231
medium	nachrichten	4
gewinner	kandidat	3.538461538
geburtstag	datum	4.923076923
gebühr	bezahlung	6.384615385
bibel	hymne	0.307692308
ausgang	eingang	4.846153846
mann	wache	2.769230769
gang	halle	3
whiskey	gin	5.230769231
blut	mark	1.615384615
öl	nerz	0.846153846
schiffsboden	schiffsdeck	5.846153846
dach	boden	4.076923077
türe	boden	1.307692308
schulter	kopf	3.923076923
wagen	kutsche	5.923076923
auto	kutsche	4.769230769
ellenbogen	knöchel	4.153846154
reichtum	ruhm	3.769230769
sorge	scham	2.230769231
verwaltung	geschäftsführung	6.692307692
verständigung	unterhaltung	5.769230769
verschmutzung	atmosphäre	2.384615385
anatomie	biologie	4.230769231
hochschule	beruf	2.230769231
buch	thema	1.846153846
formel	gleichung	6.769230769
buch	information	2.769230769
junge	partner	2.538461538
himmel	universum	5.076923077
bevölkerung	menschen	6.384615385
hochschule	klasse	3.461538462
chef	bürgermeister	3.846153846
rabbi	minister	1.538461538
meter	inch	3.846153846
polyester	baumwolle	2.769230769
rechtsanwalt	bankier	1.153846154
geige	instrument	5.076923077
lager	hütte	3.538461538
topf	haushaltsgerät	4.538461538
leinen	gewebe	6.153846154
whiskey	champagner	2.846153846
mädchen	kind	3.307692308
hütte	häuschen	8.538461538
vogel	henne	4.692307692
rakete	lärm	2.307692308
sonnenuntergang	abend	4.692307692
nieselregen	regen	7.153846154
erwachsener	baby	1.230769231
holzkohle	kohle	6.461538462
körper	rückgrat	4.230769231
kopf	nagel	1.615384615
holzblock	bauholz	4.461538462
löffel	tasse	2
körper	nerv	2.692307692
mann	ehemann	7.230769231
knochen	genick	3.615384615
frust	zorn	4.846153846
fluss	meer	3.230769231
aufgabe	beruf	4.923076923
club	verein	8.384615385
spiegelung	spiegelbild	7.846153846
prinz	könig	4.384615385
schnee	wetter	4.307692308
leute	party	3.153846154
junge	bruder	3.692307692
wurzel	gras	2.846153846
braue	auge	3.769230769
geld	perle	1.615384615
geld	diamand	2.615384615
gefährt	bus	5.692307692
taxi	bus	3.923076923
haus	baracke	4.076923077
finger	handfläche	2.615384615
auto	brücke	0.923076923
anstrengung	schwierigkeit	5.153846154
tatsache	einsicht	1.769230769
beruf	unternehmensleitung	3.076923077
krebs	krankheit	5.538461538
wort	zeitung	1.461538462
komponist	schriftsteller	3.076923077
schauspieler	sänger	2.923076923
unterschlupf	hütte	5.615384615
badezimmer	küche	1.461538462
hütte	baracke	6.153846154
türe	küche	0.846153846
wert	glaube	1.923076923
weisheit	intelligenz	6
unwissen	intelligenz	0.230769231
glückseligkeit	glück	7.076923077
idee	plan	5.923076923
laune	gefühlsregung	6.076923077
glückseligkeit	frieden	6
verzweiflung	unglück	4.384615385
logik	arithmetik	3.461538462
leugnung	geständnis	0.538461538
streit	kritik	2.538461538
agression	feindseligkeit	7.538461538
hysterie	verwirrung	2.230769231
chemie	theorie	1.461538462
gerichtsverfahren	urteil	4.461538462
bequemlichkeit	sicherheit	1.692307692
selbstsicherheit	selbst	2.384615385
sicht	wahrnehmung	7
ära	jahrzehnt	6.769230769
biographie	fiktion	1.461538462
auseinandersetzung	streit	8.692307692
code	symbol	4.153846154
gefahr	krankheit	2.384615385
unfall	katastrophe	6.461538462
reise	ausflug	7
tätigkeit	bewegung	4.307692308
klatsch	nachrichten	3.153846154
vater	gott	5.538461538
tat	verlauf	2.538461538
fieber	erkrankung	5.153846154
luftfahrt	flug	7
spiel	zug	1.615384615
molekül	luft	2.769230769
heimat	staat	4.923076923
wort	literatur	3.615384615
erwachsener	beschützer	3.153846154
zeitung	information	4.153846154
verständigung	fernsehen	1.461538462
cousin	onkel	2.538461538
autor	leser	1.769230769
kumpan	partner	6.461538462
gebiet	ecke	2.769230769
ballade	lied	6.076923077
wand	schmuck	0.307692308
wort	seite	2
krankenschwester	wissenschaftler	1.230769231
politiker	präsident	5.384615385
präsident	bürgermeister	4.076923077
buch	aufsatz	2.076923077
mann	krieger	4.384615385
artikel	zeitschrift	3.692307692
frühstück	abendmahl	2.461538462
menge	parade	3.307692308
gang	flur	6.076923077
lehrer	rabbi	4.153846154
hüfte	lippe	0.615384615
buch	artikel	2.307692308
zimmer	zelle	3.846153846
kasten	bude	1.307692308
tochter	kind	5.692307692
extremität	bein	4.076923077
leber	lunge	2.230769231
klassenzimmer	gang	0.615384615
berg	felsvorsprung	4.076923077
auto	aufzug	0.307692308
bett	couch	4.538461538
kleidung	knopf	2.615384615
kleidung	mantel	5.230769231
niere	organ	4.538461538
apfel	soße	0.384615385
huhn	steak	1.769230769
auto	schlauch	0.538461538
tabak	zigarette	6
student	professor	2.923076923
baby	tochter	4.923076923
pfeife	zigarre	4.846153846
milch	saft	1.923076923
schachtel	zigarre	2
apartment	hotel	4.538461538
becher	waffel	1.230769231
pferd	ochse	1.307692308
kehle	nase	1.769230769
knochen	zähne	2.384615385
knochen	ellenbogen	2.230769231
speck	bohne	1.153846154
tasse	krug	5.923076923
beweis	tatsache	6.230769231
vereinbarung	verabredung	6.230769231
geburtstag	jahr	2.461538462
wort	hinweis	1.923076923
autor	schöpfer	4
atom	kohlenstoff	2.230769231
erzbischof	bischof	6.153846154
brief	absatz	1.923076923
seite	absatz	2.153846154
kirchturm	kapelle	4.461538462
muskel	knochen	1.384615385
muskel	zunge	2.230769231
junge	soldat	0.923076923
bauch	unterleib	5.307692308
kerl	mädchen	0.615384615
bett	stuhl	2.230769231
kleidung	jacke	4.153846154
pistole	messer	2.538461538
blech	metall	5.461538462
flasche	behälter	5.153846154
henne	truthahn	4.384615385
fleisch	brot	0.846153846
arm	knochen	1.923076923
genick	rückgrat	3.076923077
apfel	zitrone	2.153846154
leiden	trauer	6.384615385
auftrag	aufgabe	7.307692308
nacht	dämmerung	4.153846154
abendessen	suppe	3.307692308
kalb	bulle	3.153846154
schnee	sturm	2.076923077
nagel	hand	1.461538462
hund	pferd	2
arm	genick	1
ball	handschuh	0.538461538
grippe	fieber	4.384615385
gebühr	gehalt	1.384615385
nerv	gehirn	3.307692308
biest	tier	5.615384615
abendessen	huhn	1.692307692
