Word1	Word2	Score
love	sex	8.31
tiger	cat	8.31
tiger	tiger	10.00
book	paper	7.69
computer	keyboard	8.38
computer	internet	8.23
plane	car	5.85
train	car	6.31
telephone	communication	8.38
television	radio	6.85
media	radio	8.08
drug	abuse	6.46
bread	butter	7.54
cucumber	potato	5.92
doctor	nurse	8.15
professor	doctor	5.31
student	professor	6.54
smart	student	6.58
smart	stupid	5.92
company	stock	6.85
stock	market	7.46
stock	phone	1.54
stock	CD	4.04
stock	jaguar	1.54
stock	egg	1.62
fertility	egg	8.38
stock	live	3.69
stock	life	1.85
book	library	8.77
bank	money	8.69
wood	forest	8.38
money	cash	9.38
professor	cucumber	0.23
king	cabbage	1.15
king	queen	8.46
king	rook	5.92
bishop	rabbi	8.23
Jerusalem	Israel	8.77
Jerusalem	Palestinian	7.85
holy	sex	1.46
fuck	sex	9.31
Maradona	football	4.92
football	basketball	7.08
football	tennis	6.46
tennis	racket	8.69
Arafat	peace	3.62
Arafat	terror	5.92
Arafat	Jackson	2.77
law	lawyer	9.23
movie	star	7.46
movie	popcorn	6.77
movie	critic	6.08
movie	theater	7.85
physics	proton	6.38
physics	chemistry	7.77
space	chemistry	3.77
alcohol	chemistry	4.62
vodka	gin	8.15
vodka	brandy	7.85
drink	car	0.77
drink	ear	0.38
drink	mouth	6.38
drink	eat	6.61
baby	mother	6.23
drink	mother	1.31
car	automobile	9.54
gem	jewel	9.31
journey	voyage	9.54
boy	lad	9.46
asylum	madhouse	9.00
magician	wizard	8.77
furnace	stove	7.69
food	fruit	8.15
bird	cock	6.85
bird	crane	8.31
tool	implement	7.00
brother	monk	5.31
crane	implement	3.08
lad	brother	5.62
journey	car	5.62
monk	oracle	4.31
cemetery	woodland	2.15
food	rooster	2.92
coast	hill	3.15
forest	graveyard	2.00
shore	woodland	3.00
monk	slave	2.15
coast	forest	2.92
lad	wizard	1.85
chord	smile	1.23
glass	magician	1.15
noon	string	0.46
rooster	voyage	0.54
money	dollar	9.08
money	cash	9.38
money	currency	9.54
money	wealth	8.38
money	property	5.38
money	possession	6.46
money	bank	7.23
money	deposit	7.46
money	withdrawal	7.38
money	laundering	6.54
money	operation	3.00
tiger	jaguar	8.42
tiger	feline	8.46
tiger	carnivore	8.92
tiger	mammal	8.81
tiger	animal	9.06
tiger	organism	6.77
tiger	fauna	4.31
tiger	zoo	7.65
psychology	psychiatry	8.35
psychology	anxiety	7.27
psychology	fear	5.96
psychology	depression	7.31
psychology	clinic	7.46
