Word1	Word2	Score
секс	любовь	7.92
кот	тигр	6.69
тигр	тигр	10.00
бумага	книга	7.08
клавиатура	компьютер	7.00
Интернет	компьютер	8.15
машина	самолет	4.35
машина	поезд	4.62
коммуникация	телефон	6.38
радио	телевидение	7.15
радио	медиум	4.92
злоупотребление	наркотик	7.15
масло	хлеб	6.31
картофель	огурец 	4.69
медсестра	врач	6.15
доктор	профессор	6.77
профессор	студент	6.00
студент	умный	5.31
тупой	умный	6.31
акции	компания	6.62
рынок	акции	6.92
телефон	запас	1.08
диск	запас	3.31
ягуар 	запас	0.46
яйцо	запас	1.00
плодородие	яйцо	3.85
живой	акции	0.54
жизнь	акции	1.15
библиотека	книга	8.08
деньги	банк	8.38
лес	дерево	8.31
наличные	деньги	8.62
огурец	профессор	0.38
капуста	король	2.69
королева	король	7.38
ладья	король	6.62
раввин	епископ	6.46
Израиль	Иерусалим	8.85
Палестинец	Иерусалим	5.69
секс	святой	3.38
секс	трахаться	7.81
футбол	Марадона	7.92
баскетбол	футбол	6.85
теннис	футбол	6.00
ракетка	теннис	8.38
мир	Арафат	2.77
террор	Арафат	8.31
Джексон	Арафат	1.46
адвокат	закон	7.85
звезда	кино	7.15
попкорн	кино	6.08
критик	кино	7.00
театр	кино	7.54
протон	физика	8.38
химия	физика	7.23
химия	пространство	3.23
химия	алкоголь	4.85
джин	водка	7.23
бренди	водка	7.46
машина	напиток	2.08
ухо	питье	0.46
рот	питье	7.23
кушать	пить	7.62
мама	младенец	8.38
мама	питье	3.46
автомобиль	машина	8.85
драгоценность	самоцвет	8.77
вояж	путешествие	9.31
парень	мальчик	8.62
дурдом	убежище	4.54
волшебник	маг	9.31
плита	горн	3.62
фрукт	пища	6.77
петух	птица	8.00
журавль	птица	8.62
орудие	инструмент	7.88
монах	брат	5.88
орудие	кран	2.54
парень	брат	5.00
автомобиль	путешествие	7.15
оракул	монах	2.69
Редколесье	кладбище	1.46
петух	пища	4.00
холм	берег	3.31
кладбище	лес	2.62
Редколесье	берег	2.31
раб	монах	1.23
лес	берег	2.69
маг	парень	1.31
улыбка	аккорд	2.00
волшебник	стекло	1.85
струна	полдень	0.38
вояж	петух	0.23
доллар	деньги	8.38
наличные	деньги	8.92
валюта	деньги	8.77
богатство	деньги	8.46
собственность	деньги	7.46
владение	деньги	6.77
банк	деньги	8.85
депозит	деньги	8.46
снимание	деньги	7.54
отмывание	деньги	7.69
операция	деньги	6.15
ягуар	тигр	7.00
кошачий	тигр	7.54
хищник	тигр	8.31
млекопитающее	тигр	7.54
животное	тигр	8.08
организм	тигр	5.00
фауна	тигр	5.46
зоопарк	тигр	6.69
психиатрия	психология	7.38
тревога	психология	6.54
страх	психология	6.46
депрессия	психология	7.31
клиника	психология	6.00
врач	психология	5.92
Фрейд	психология	8.46
ум	психология	6.85
здоровье	психология	6.77
наука	психология	7.38
дисциплина	психология	5.77
познание	психология	6.46
звезда	планета	8.08
созвездие	планета	7.69
луна	планета	8.62
солнце	планета	8.15
галактика	планета	7.23
космос	планета	7.46
астроном	планета	8.08
пример	прецедент	6.69
информация	прецедент	5.08
познание	прецедент	5.15
закон	прецедент	5.54
коллекция	прецедент	2.31
группа	прецедент	2.23
предшествующее	прецедент	5.08
кофе	чашка	7.69
посуда	чашка	8.08
объект	чашка	4.92
артефакт	чашка	3.77
объект	чашка	4.15
сущность	чашка	2.31
питье	чашка	7.85
еда	чашка	5.00
вещество	чашка	2.69
жидкость	чашка	6.54
кот	ягуар	5.62
автомобиль	ягуар	6.38
министр	энергия	5.46
сенат	министр	5.85
лаборатория	энергия	5.69
лаборатория	компьютер	5.85
секрет	оружие	6.31
Дактилоскопия	ФБР	6.92
расследование	ФБР	7.46
усилие	расследование	5.31
вода	Марс	3.92
ученый	Марс	4.69
репортаж	новости	8.62
ландшафт	каньон	7.15
поверхность	изображение	6.31
космос	открытие	7.23
утечка	вода	7.23
выемка	знак	3.46
новости	среда	2.15
километр	миля	7.92
новости	компьютер	6.69
поверхность	территория	5.77
ландшафт	атмосфера	4.38
медаль	президент	3.85
войска	война	8.38
число	рекорд	6.85
глаз	кожа	4.85
американец	японец	5.77
история	театр	4.69
девиз	волонтер	3.15
признание	предубеждение	2.85
доблесть	орден	7.31
год	век	7.46
нация	век	2.77
расизм	замедление	3.23
новости	задержка	2.15
партия	министр	6.62
план	мир	4.38
мир	меньшинство	2.54
мир	попытка	3.92
кризис	правительство	6.62
отъезд	развертывание	1.69
отход	развертывание	2.46
кризис	энергия	4.46
новости	объявление	6.69
усилие	объявление	1.62
больница	инсульт	7.08
смерть	инвалидность	6.00
экстренный	потерпевший	4.69
восстановление	лечение	7.46
ассоциация	журнал	3.00
персонал	доктор	7.23
ответственность	доктор	6.69
страховка	ответственность	6.15
центр	школа	4.15
гипертония	причина	4.23
критерий	причина	4.54
процент	сто	7.77
Йель	Гарвард	7.62
инфраструктура	больница	5.85
ряд	смерть	1.69
заключенный	смерть	3.69
свидетельство	адвокат	6.38
смерть	жизнь	7.92
срок	жизнь	7.00
подобие	слово	4.00
рекомендация	комитет	3.62
интервью	губернатор	4.46
страна	ОПЕ́К	4.15
обстановка	мир	5.00
страховка	мир	2.00
километр	территория	5.38
активность	путешествие	6.08
цена	конкуренция	6.77
уверенность	потребитель	3.38
энергия	потребитель	6.15
аэропорт	проблема	3.15
полет	машина	3.38
карточка	кредит	7.62
информация	доверие	5.31
бронирование	отель	7.08
деньги	бакалея	2.77
договоренность	регистрация	3.00
жилье	расположение	4.77
гостиница	месяц	2.54
вид	тип	6.77
гостиница	прибытие	5.54
шкаф	кровать	5.92
одежда	шкаф	6.54
заключение	ситуация	3.23
изоляция	ситуация	3.15
интерес	беспристрастность	3.08
комбинация	направление	2.15
место	улица	6.31
аллея	улица	6.77
квартал	улица	6.85
дети	улица	5.77
близость	список	1.38
категория	список	3.69
телефон	клетка	1.46
подъем	производство	5.08
показатель	отметка	6.69
торговля	СМИ	3.92
преимущество	СМИ	4.00
платеж	дивиденд	6.08
расчет	дивиденд	5.15
вычисление	расчет	7.77
рынок	валюта	7.85
нефть	ОПЕ́К	7.85
акции	нефть	6.54
продукция	объявление	3.54
предупреждение	объявление	5.23
предупреждение	прибыль	1.77
потеря	прибыль	6.85
иена	доллар	7.31
бакс	доллар	9.08
прибыль	доллар	6.77
потеря	доллар	5.69
программа	компьютер	9.00
Компьютеры	сеть	7.92
оборудование	телефон	5.69
производитель	оборудование	7.08
машина	роскошь	5.00
месяц	пять	2.00
прибыль	отчет	4.92
зарабатывание	инвестор	6.08
вода	жидкость	8.62
сезон	бейсбол	4.00
победа	игра	7.38
команда	игра	8.00
спринт	марафон	7.92
цикл	игра	3.77
поражение	игра	6.85
цикл	семь	3.62
море	морепродукты	7.77
пища	морепродукты	7.08
омар	морепродукты	8.62
пища	омар	6.77
