Word 1	Word 2	Human (mean)
Liebe	Sex	8.46
Tiger	Katze	7.92
Tiger	Tiger	10.00
Buch	Papier	7.08
Computer	Tastatur	8.00
Computer	Internet	8.08
Flugzeug	Auto	4.92
Zug	Auto	5.54
Telefon	Kommunikation	8.38
Fernseher	Radio	5.77
Medien	Radio	8.15
Drogen	Mißbrauch	6.46
Brot	Butter	5.62
Gurke	Kartoffel	4.92
Arzt	Krankenschwester	6.69
Professor	Doktor	6.77
Student	Professor	5.69
klug	Student	4.85
klug	dumm	5.00
Unternehmen	Aktie	6.54
Aktie	Börse	8.85
Vorrat	Telefon	0.31
Vorrat	CD	0.54
Vorrat	Jaguar	0.23
Vorrat	Ei	2.15
Fruchtbarkeit	Ei	7.92
Aktie	Live	1.08
Aktie	Leben	0.62
Buch	Bibliothek	8.31
Bank	Geld	8.15
Holz	Wald	8.54
Geld	Bargeld	9.69
Professor	Gurke	0.15
König	Kohl	0.23
König	Königin	10.00
König	Turm	5.15
Bischoff	Rabbi	7.00
Jerusalem	Israel	8.85
Jerusalem	Palestinensisch	6.85
Heilig	Sex	0.69
Ficken	Sex	9.15
Maradona	Fußball	8.00
Fußball	Basketball	5.38
Fußball	Tennis	4.69
Tennis	Schläger	7.08
Arafat	Frieden	2.46
Arafat	Terror	5.23
Arafat	Jackson	0.69
Gesetz	Anwalt	8.38
Film	Star	7.62
Film	Popcorn	6.08
Film	Kritik	5.85
Kino	Theater	6.85
Physik	Proton	7.00
Physik	Chemie	7.54
Weltall	Chemie	3.31
Alkohol	Chemie	5.08
Wodka	Gin	7.92
Wodka	Brandy	8.22
Drink	Auto	1.85
Trinken	Ohren	0.62
Trinken	Mund	6.46
Trinken	Essen	7.23
Baby	Mutter	7.85
Säugen	Mutter	7.69
Auto	Fahrzeug	9.19
Edelstein	Juwel	9.27
Ausflug	Reise	8.23
Junge	Bursche	9.27
Irrenanstalt	Tollhaus	8.23
Magier	Zauberer	9.65
Ofen	Herd	8.81
Essen	Frucht	6.77
Vogel	Hahn	6.08
Vogel	Kranich	7.46
Werkzeug	Arbeitsgerät	8.38
Bruder	Mönch	5.92
Kran	Arbeitsgerät	6.08
Bursche	Bruder	4.23
Fahrt	Auto	6.62
Mönch	Orakel	1.38
Friedhof	Waldgebiet	1.92
Essen	Hahn	3.46
Küste	Hügel	2.69
Wald	Friedhof	3.31
Ufer	Waldgebiet	2.31
Mönch	Sklave	1.08
Küste	Wald	1.77
Bursche	Zauberer	0.77
Akkord	Lächeln	0.31
Glas	Magier	1.69
Mittag	Faden	0.15
Hahn	Reise	0.31
Geld	Dollar	7.92
Geld	Bargeld	9.19
Geld	Währung	8.12
Geld	Reichtum	8.19
Geld	Eigentum	6.62
Geld	Besitz	6.92
Geld	Bank	8.31
Geld	Pfand	5.13
Geld	Einzahlung	6.23
Geld	Abheben	6.54
Geld	Wäsche	3.62
Tiger	Jaguar	6.00
Tiger	Katze	6.92
Tiger	Raubtier	8.00
Tiger	Säugetier	6.58
Tiger	Tier	7.85
Tiger	Organismus	3.59
Tiger	Fauna	3.69
Tiger	Zoo	5.91
Psychologie	Psychiatrie	6.85
Psychologie	Beklemmung	4.35
Psychologie	Angst	4.92
Psychologie	Depression	6.77
Psychologie	Klinik	6.17
Psychologie	Arzt	5.85
Psychologie	Freud	7.00
Psychologie	Seele	5.88
Psychologie	Gesundheit	5.11
Psychologie	Wissenschaft	5.96
Psychologie	Disziplin	4.77
Psychologie	Erkenntnis	4.92
Planet	Stern	7.23
Planet	Konstellation	6.23
Planet	Mond	7.08
Planet	Sonne	7.08
Planet	Galaxie	7.08
Planet	Weltraum	7.08
Planet	Astronom	6.38
Präzedenz	Beispiel	6.83
Basis	Information	3.32
Voraussetzung	Erkenntnis	3.15
Präzedensfall	Gesetz	5.62
Beispielhaft	Sammlung	1.92
Vorbildlich	Gruppe	2.19
Vorangehend	Vorausgehend	8.04
Tasse	Kaffee	7.21
Tasse	Geschirr	8.00
Tasse	Gegenstand	6.08
Tasse	Artefakt	2.00
Tasse	Objekt	5.69
Tasse	Ding	5.08
Tasse	Trinken	7.62
Tasse	Essen	1.77
Tasse	Substanz	1.69
Tasse	Flüssigkeit	5.47
Jaguar	Katze	6.66
Jaguar	Auto	7.55
Energie	Minister	4.15
Minister	Senat	5.96
Energie	Labor	3.23
Computer	Labor	4.31
Waffe	Geheimnis	1.85
Polizei	Fingerabdruck	6.23
Polizei	Ermittlung	7.27
Untersuchung	Aufwand	4.15
Mars	Wasser	2.77
Mars	Wissenschaftler	5.54
Nachrichten	Bericht	7.85
Schlucht	Landschaft	6.54
Bild	Oberfläche	3.38
Entdeckung	Weltall	4.77
Wasser	Leck	5.81
Zeichen	Kerbe	3.92
Mittwoch	Nachrichten	1.38
Meile	Kilometer	7.62
Computer	Nachrichten	4.23
Gebiet	Oberfläche	3.77
Atmosphäre	Landschaft	2.50
Präsident	Orden	2.77
Krieg	Truppen	6.81
Rekord	Nummer	2.77
Haut	Augen	4.12
Japaner	Amerikaner	5.73
Theater	Geschichte	3.85
Freiwilliger	Motto	0.77
Vorurteil	Anerkennung	3.46
Auszeichnung	Tapferkeit	5.92
Jahrhundert	Jahr	6.85
Jahrhundert	Nation	1.54
Verzögerung	Rassismus	1.31
Verzögerung	Nachrichten	1.08
Minister	Partei	7.38
Frieden	Plan	3.85
Minderheit	Frieden	2.23
Versuch	Frieden	3.46
Regierung	Krise	5.65
Aufmarsch	Abzug	6.27
Aufmarsch	Rückzug	6.81
Energie	Krise	4.77
Ankündigung	Nachrichten	6.31
Ankündigung	Aufwand	1.08
Schlaganfall	Krankenhaus	6.88
Behinderung	Tod	2.42
Opfer	Notfall	6.69
Behandlung	Erholung	5.46
Zeitschrift	Verein	1.77
Arzt	Personal	4.46
Arzt	Verantwortung	6.65
Haftung	Versicherung	7.62
Schule	Zentrum	4.00
Ursache	Bluthochdruck	3.65
Ursache	Kriterium	3.69
Hundert	Prozent	6.92
Harvard	Yale	7.85
Krankenhaus	Infrastruktur	5.00
Tod	Trakt	2.46
Tod	Insasse	2.38
Rechtsanwalt	Beweis	6.04
Leben	Tod	8.69
Leben	Dauer	6.42
